step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,6.01006,0.6,,
2,6.08984,0.66667,,
3,7.20203,0.5,,
4,5.36058,0.66667,,
5,7.9029,0.4,,
6,5.82877,0.6,,
7,6.25947,0.5,,
8,5.21704,0.5,,
9,7.13283,0.5,,
10,5.11526,0.6,,
11,6.00248,0.57143,,
12,7.22041,0.57143,,
13,9.21956,0.4,,
14,5.58292,0.75,,
15,7.306,0.4,,
16,5.64933,0.5,,
17,6.49955,0.42857,,
18,5.6681,0.66667,,
19,4.87552,0.5,,
20,5.81605,0.71429,,
21,8.14916,0.5,,
22,10.52562,0.2,,
23,7.17109,0.45455,,
24,7.93878,0.5,,
25,7.1493,0.5,,
26,8.16409,0.5,,
27,3.97372,0.71429,,
28,4.49046,0.71429,,
29,5.586,0.54545,,
30,7.54217,0.42857,,
31,7.70364,0.33333,,
32,8.36347,0.28571,,
33,8.21253,0.5,,
34,3.0194,0.66667,,
35,4.18505,0.66667,,
36,4.20939,0.71429,,
37,5.4404,0.75,,
38,5.45046,0.71429,,
39,4.51486,0.57143,,
40,5.2287,0.5,,
41,5.26047,0.75,,
42,5.26851,0.75,,
43,4.51178,0.71429,,
44,6.91078,0.66667,,
45,6.15823,0.45455,,
46,7.47555,0.4,,
47,4.72219,0.6,,
48,9.52213,0.5,,
49,9.01573,0.2,,
50,6.36428,0.75,,
51,7.94219,0.42857,,
52,5.22137,0.5,,
53,5.21986,0.6,,
54,6.76257,0.57143,,
55,5.61324,0.57143,,
56,6.70738,0.4,,
57,4.94093,0.57143,,
58,4.75451,0.5,,
59,3.66334,0.57143,,
60,5.97973,0.45455,,
61,5.81139,0.57143,,
62,5.53866,0.28571,,
63,5.12063,0.57143,,
64,3.29872,0.66667,,
65,4.31488,0.6,,
66,4.35091,0.5,,
67,5.23591,0.66667,,
68,6.01829,0.6,,
69,4.34978,0.57143,,
70,5.27756,0.42857,,
71,4.55594,0.5,,
72,4.23858,0.5,,
73,3.20393,0.8,,
74,3.65294,0.6,,
75,3.41104,0.75,,
76,3.74162,0.71429,,
77,3.86432,0.6,,
78,4.2687,0.5,,
79,4.41888,0.5,,
80,6.73928,0.375,,
81,3.87468,0.42857,,
82,5.57704,0.5,,
83,3.39028,0.66667,,
84,6.23261,0.4,,
85,4.07633,0.5,,
86,4.38919,0.71429,,
87,3.04662,0.75,,
88,2.16601,0.8,,
89,3.35979,0.6,,
90,5.30728,0.4,,
91,5.43567,0.5,,
92,7.36741,0.2,,
93,3.87845,0.4,,
94,1.31185,0.85714,,
95,5.38256,0.5,,
96,1.94927,0.75,,
97,3.00757,0.85714,,
98,3.75637,0.5,,
99,6.41633,0.5,,
100,5.15447,0.33333,,
101,2.83929,0.66667,,
102,2.90997,0.6,,
103,2.88345,0.66667,,
104,4.0934,0.6,,
105,3.23994,0.6,,
106,2.45235,0.6,,
107,4.10996,0.625,,
108,2.75529,0.6,,
109,2.4091,0.625,,
110,3.62895,0.57143,,
111,2.69914,0.6,,
112,3.43267,0.42857,,
113,2.73381,0.66667,,
114,3.82277,0.5,,
115,1.86519,0.66667,,
116,2.78073,0.66667,,
117,1.67427,0.8,,
118,2.10513,0.6,,
119,3.59343,0.75,,
120,3.1941,0.75,,
121,0.41686,0.75,,
122,2.83114,0.625,,
123,2.75005,0.6,,
124,1.28568,0.8,,
125,1.48623,0.6,,
126,2.60849,0.6,,
127,3.04591,0.4,,
128,2.61243,0.57143,,
129,2.06498,0.6,,
130,6.55577,0.4,,
131,3.47795,0.57143,,
132,1.9067,0.5,,
133,2.35881,0.71429,,
134,4.15022,0.57143,,
135,3.27438,0.75,,
136,2.89421,0.5,,
137,4.90321,0.16667,,
138,4.93774,0.5,,
139,3.74628,0.57143,,
140,1.55394,0.75,,
141,2.9872,0.42857,,
142,2.12447,0.75,,
143,3.38456,0.8,,
144,1.71383,0.75,,
145,1.99759,0.5,,
146,2.31336,0.6,,
147,2.53954,0.6,,
148,0.72187,0.75,,
149,1.01788,0.6,,
150,2.15881,0.5,,
151,1.90765,0.5,,
152,1.96891,0.6,,
153,2.59061,0.5,,
154,3.74209,0.42857,,
155,1.30056,0.8,,
156,2.18031,0.5,,
157,1.62489,0.8,,
158,2.64897,0.57143,,
159,0.6676,0.75,,
160,3.45123,0.8,,
161,1.71238,0.66667,,
162,5.54925,0.2,,
163,0.32566,0.8,,
164,2.62421,0.5,,
165,1.92027,0.75,,
166,0.43787,1.0,,
167,5.47863,0.42857,,
168,1.32048,0.625,,
169,2.61345,0.5,,
170,3.2911,0.57143,,
171,0.57678,0.85714,,
172,3.93693,0.5,,
173,1.66821,0.71429,,
174,2.90808,0.6,,
175,2.20008,0.5,,
176,0.80357,0.8,,
177,0.91053,0.8,,
178,1.49428,0.625,,
179,2.20605,0.75,,
180,2.68104,0.66667,,
181,2.2877,0.66667,,
182,3.82021,0.33333,,
183,0.66977,0.83333,,
184,0.62641,0.75,,
